31
1,5,9
1,2,8
1,3,6
1,4,5
1,6,8
1,8,9
1,9,5
1,10,6
1,11,10
1,13,5
1,20,8
1,22,5
1,23,10
1,26,4
1,28,1
1,30,6
1,31,3
2,27,10
2,3,5
2,4,6
2,5,9
2,8,4
2,9,4
2,11,7
2,12,1
2,13,9
2,18,4
2,19,8
2,20,5
2,21,9
2,22,6
2,25,8
2,26,7
2,29,3
2,31,7
3,31,10
3,7,10
3,9,8
3,10,1
3,12,2
3,14,3
3,17,4
3,19,2
3,21,8
3,23,9
3,24,3
4,22,7
4,5,9
4,7,3
4,8,5
4,9,2
4,11,2
4,15,5
4,16,10
4,18,9
4,20,10
4,21,3
4,23,5
5,26,4
5,6,8
5,12,9
5,14,6
5,16,4
5,17,3
5,21,2
5,22,3
5,23,3
5,27,5
5,28,8
6,16,3
6,7,2
6,10,5
6,12,5
6,14,2
6,15,10
6,23,7
6,26,6
6,31,7
7,28,4
7,8,3
7,18,7
7,19,1
7,21,8
7,24,8
7,25,8
7,26,10
7,29,8
8,11,3
8,9,4
8,12,6
8,15,7
8,17,4
8,21,10
8,23,4
8,24,2
8,25,3
8,26,10
8,27,10
8,29,4
9,25,9
9,10,7
9,12,7
9,14,9
9,15,9
9,20,2
9,22,8
9,29,6
9,31,4
10,13,2
10,14,4
10,15,10
10,16,6
10,20,6
10,21,1
10,22,7
10,25,2
10,26,6
10,28,8
10,30,2
11,16,9
11,12,3
11,15,5
11,18,6
11,19,8
11,21,6
11,28,8
11,30,9
11,31,9
12,15,9
12,21,7
12,22,2
12,23,2
12,24,10
12,29,3
12,30,4
12,31,10
13,14,3
13,15,3
13,16,7
13,17,7
13,18,9
13,19,6
13,21,2
13,22,7
13,23,8
13,24,3
13,25,7
13,26,8
13,30,4
13,31,7
14,31,10
14,15,3
14,16,2
14,19,3
14,20,7
14,27,8
14,30,2
15,28,2
15,19,6
15,27,7
15,30,7
15,31,2
16,18,8
16,17,6
16,20,1
16,25,10
16,26,8
16,27,5
16,29,2
16,30,9
17,31,5
17,19,10
17,20,6
17,21,6
17,25,10
17,26,3
17,27,2
17,30,4
18,19,2
18,23,4
18,24,3
18,25,3
18,26,6
18,27,10
18,28,9
18,31,10
19,22,9
19,20,10
19,23,5
19,24,4
19,25,5
20,21,8
20,22,4
20,23,2
20,30,3
20,31,5
21,26,9
21,22,2
21,23,10
21,24,1
21,30,2
22,25,5
22,23,6
22,24,6
22,28,3
22,29,3
22,31,2
23,28,1
23,25,3
23,26,5
24,30,10
24,25,10
24,27,9
24,28,10
24,29,4
24,31,6
25,28,3
25,26,1
25,27,8
26,31,8
26,27,2
26,28,6
26,29,10
27,28,2
27,31,8
28,30,8
28,29,8
28,31,1
29,30,1
30,31,6
