23
1,3,5
1,4,2
1,10,8
1,11,7
1,12,1
1,13,2
1,14,4
1,16,5
1,17,9
1,19,1
1,23,5
2,14,6
2,5,3
2,7,5
2,15,6
2,17,8
2,18,2
2,19,10
3,15,1
3,4,3
3,7,6
3,8,6
3,9,2
3,12,9
3,13,1
3,17,3
3,18,10
3,19,9
3,21,9
3,23,8
4,18,5
4,5,5
4,7,10
4,8,4
4,10,6
4,11,8
4,13,9
4,14,6
4,15,9
4,23,4
5,8,7
5,7,3
5,10,1
5,13,7
5,14,10
5,15,4
5,16,10
5,17,10
5,20,9
5,21,5
6,11,9
6,15,6
6,17,6
6,20,7
6,21,3
6,23,1
7,15,8
7,8,5
7,9,10
7,11,5
7,12,5
7,19,10
7,20,10
7,21,7
7,23,3
8,22,2
8,10,7
8,11,2
8,12,9
8,15,1
8,18,1
9,21,8
9,10,8
9,11,8
9,12,8
9,13,3
9,16,4
9,17,9
9,19,10
9,20,2
9,22,5
9,23,7
10,19,7
10,11,6
10,12,3
10,14,5
10,15,9
10,16,8
10,17,2
10,18,8
10,20,3
10,21,1
10,22,9
10,23,9
11,16,3
11,12,9
11,14,7
11,18,4
11,19,9
11,20,6
11,21,1
12,20,3
12,17,10
12,18,5
12,21,5
12,23,1
13,19,5
13,16,2
13,17,5
13,18,4
13,20,1
13,21,10
13,22,1
14,19,6
14,16,2
14,18,4
15,19,2
15,16,7
15,20,10
15,21,7
16,20,1
16,18,3
16,22,1
17,23,7
17,20,7
18,22,3
18,21,3
19,20,8
19,23,5
20,22,4
20,21,8
21,22,8
21,23,7
22,23,5
